awardEditionLabel,year,awardLabel,awardWork,awardWorkLabel,director,directorLabel,time,imdbid,bechdeltest_rating,human,humanLabel
96th Academy Awards,2024,Academy Award for Best Picture,http://www.wikidata.org/entity/Q117037697,Anatomy of a Fall,http://www.wikidata.org/entity/Q15069938,Justine Triet,2024-03-10T00:00:00Z,tt17009710,3,,
96th Academy Awards,2024,Academy Award for Best Picture,http://www.wikidata.org/entity/Q55436290,Barbie,http://www.wikidata.org/entity/Q271967,Greta Gerwig,2024-03-10T00:00:00Z,tt1517268,3,,
95th Academy Awards,2023,Academy Award for Best Picture,http://www.wikidata.org/entity/Q107710009,The Fabelmans,http://www.wikidata.org/entity/Q8877,Steven Spielberg,2023-03-12T00:00:00Z,tt14208870,2,http://www.wikidata.org/entity/Q22074633,Kristie Macosko Krieger
95th Academy Awards,2023,Academy Award for Best Picture,http://www.wikidata.org/entity/Q108030443,Women Talking,http://www.wikidata.org/entity/Q234212,Sarah Polley,2023-03-12T00:00:00Z,tt13669038,3,http://www.wikidata.org/entity/Q15884784,Jeremy Kleiner
95th Academy Awards,2023,Academy Award for Best Picture,http://www.wikidata.org/entity/Q108314506,The Banshees of Inisherin,http://www.wikidata.org/entity/Q372394,Martin McDonagh,2023-03-12T00:00:00Z,tt11813216,3,http://www.wikidata.org/entity/Q40664045,Peter Czernin
95th Academy Awards,2023,Academy Award for Best Picture,http://www.wikidata.org/entity/Q108649516,Tár,http://www.wikidata.org/entity/Q670296,Todd Field,2023-03-12T00:00:00Z,tt14444726,3,http://www.wikidata.org/entity/Q116458006,Scott Lambert
95th Academy Awards,2023,Academy Award for Best Picture,http://www.wikidata.org/entity/Q108837349,All Quiet on the Western Front,http://www.wikidata.org/entity/Q1291686,Edward Berger,2023-03-12T00:00:00Z,tt1016150,0,http://www.wikidata.org/entity/Q95281346,Malte Grunert
95th Academy Awards,2023,Academy Award for Best Picture,http://www.wikidata.org/entity/Q83808444,Everything Everywhere All at Once,http://www.wikidata.org/entity/Q28746830,Dan Kwan,2023-03-12T00:00:00Z,tt6710474,3,http://www.wikidata.org/entity/Q115925841,Jonathan Wang
95th Academy Awards,2023,Academy Award for Best Picture,http://www.wikidata.org/entity/Q84362533,Elvis,http://www.wikidata.org/entity/Q250545,Baz Luhrmann,2023-03-12T00:00:00Z,tt3704428,1,http://www.wikidata.org/entity/Q116729835,Schuyler Weiss
95th Academy Awards,2023,Academy Award for Best Picture,http://www.wikidata.org/entity/Q97304180,Triangle of Sadness,http://www.wikidata.org/entity/Q211228,Ruben Östlund,2023-03-12T00:00:00Z,tt7322224,3,http://www.wikidata.org/entity/Q84075710,Philippe Bober
95th Academy Awards,2023,Academy Award for Best Picture,http://www.wikidata.org/entity/Q3604746,Avatar: The Way of Water,http://www.wikidata.org/entity/Q42574,James Cameron,2023-03-12T00:00:00Z,tt1630029,3,http://www.wikidata.org/entity/Q42574,James Cameron
95th Academy Awards,2023,Academy Award for Best Picture,http://www.wikidata.org/entity/Q31202708,Top Gun: Maverick,http://www.wikidata.org/entity/Q2444076,Joseph Kosinski,2023-03-12T00:00:00Z,tt1745960,3,http://www.wikidata.org/entity/Q5233363,David Ellison
94th Academy Awards,2022,Academy Award for Best Picture,http://www.wikidata.org/entity/Q82430214,Nightmare Alley,http://www.wikidata.org/entity/Q219124,Guillermo del Toro,2022-03-27T00:00:00Z,tt7740496,1,http://www.wikidata.org/entity/Q205707,Bradley Cooper
94th Academy Awards,2022,Academy Award for Best Picture,http://www.wikidata.org/entity/Q84203429,King Richard,http://www.wikidata.org/entity/Q27044648,Reinaldo Marcus Green,2022-03-27T00:00:00Z,tt9620288,3,http://www.wikidata.org/entity/Q111384058,Tim White
94th Academy Awards,2022,Academy Award for Best Picture,http://www.wikidata.org/entity/Q85323337,The Power of the Dog,http://www.wikidata.org/entity/Q230448,Jane Campion,2022-03-27T00:00:00Z,tt10293406,0,http://www.wikidata.org/entity/Q15808023,Emile Sherman
94th Academy Awards,2022,Academy Award for Best Picture,http://www.wikidata.org/entity/Q100361490,Don't Look Up,http://www.wikidata.org/entity/Q350405,Adam McKay,2022-03-27T00:00:00Z,tt11286314,3,http://www.wikidata.org/entity/Q350405,Adam McKay
94th Academy Awards,2022,Academy Award for Best Picture,http://www.wikidata.org/entity/Q100736066,Belfast,http://www.wikidata.org/entity/Q55294,Kenneth Branagh,2022-03-27T00:00:00Z,tt12789558,1,http://www.wikidata.org/entity/Q55294,Kenneth Branagh
94th Academy Awards,2022,Academy Award for Best Picture,http://www.wikidata.org/entity/Q102036245,Licorice Pizza,http://www.wikidata.org/entity/Q25132,Paul Thomas Anderson,2022-03-27T00:00:00Z,tt11271038,3,http://www.wikidata.org/entity/Q25132,Paul Thomas Anderson
94th Academy Awards,2022,Academy Award for Best Picture,http://www.wikidata.org/entity/Q104686893,CODA,http://www.wikidata.org/entity/Q7506788,Siân Héder,2022-03-27T00:00:00Z,tt10366460,3,http://www.wikidata.org/entity/Q3380669,Philippe Rousselet
94th Academy Awards,2022,Academy Award for Best Picture,http://www.wikidata.org/entity/Q107107865,Drive My Car,http://www.wikidata.org/entity/Q17220313,Ryusuke Hamaguchi,2022-03-27T00:00:00Z,tt14039582,3,,
