awardEditionLabel,awardLabel,awardWork,awardWorkLabel,director,directorLabel,time,imdbid,bechdeltest_rating,human,humanLabel
96th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q108839994,Oppenheimer,http://www.wikidata.org/entity/Q25191,Christopher Nolan,2024-03-10T00:00:00Z,tt15398776,2,,
95th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q83808444,Everything Everywhere All at Once,http://www.wikidata.org/entity/Q28746830,Dan Kwan,2023-03-12T00:00:00Z,tt6710474,3,http://www.wikidata.org/entity/Q115925841,Jonathan Wang
94th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q104686893,CODA,http://www.wikidata.org/entity/Q7506788,Siân Héder,2022-03-27T00:00:00Z,tt10366460,3,,
93rd Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q61740820,Nomadland,http://www.wikidata.org/entity/Q21078321,Chloé Zhao,2021-04-25T00:00:00Z,tt9770150,3,,
92nd Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q61448040,Parasite,http://www.wikidata.org/entity/Q495980,Bong Joon-ho,2020-02-09T00:00:00Z,tt6751668,3,http://www.wikidata.org/entity/Q83945397,Kwak Sin-ae
91st Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q48673898,Green Book,http://www.wikidata.org/entity/Q1368300,Peter Farrelly,2019-02-24T00:00:00Z,tt6966692,1,,
90th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q26698156,The Shape of Water,http://www.wikidata.org/entity/Q219124,Guillermo del Toro,2018-03-04T00:00:00Z,tt5580390,3,,
89th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q21527875,Moonlight,http://www.wikidata.org/entity/Q26821227,Barry Jenkins,2017-02-26T00:00:00Z,tt4975722,1,http://www.wikidata.org/entity/Q28534248,Adele Romanski
88th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q18154496,Spotlight,http://www.wikidata.org/entity/Q514527,Tom McCarthy,2016-02-28T00:00:00Z,tt1895587,1,http://www.wikidata.org/entity/Q22075550,Nicole Rocklin
87th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q13255497,Birdman,http://www.wikidata.org/entity/Q55215,Alejandro González Iñárritu,2015-02-22T00:00:00Z,tt2562232,3,http://www.wikidata.org/entity/Q19359565,James W. Skotchdopole
86th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q3023357,12 Years a Slave,http://www.wikidata.org/entity/Q706475,Steve McQueen,2014-03-02T00:00:00Z,tt2024544,3,http://www.wikidata.org/entity/Q16730623,Anthony Katagas
85th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q59653,Argo,http://www.wikidata.org/entity/Q483118,Ben Affleck,2013-02-24T00:00:00Z,tt1024648,3,http://www.wikidata.org/entity/Q483118,Ben Affleck
84th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q171861,The Artist,http://www.wikidata.org/entity/Q28556,Michel Hazanavicius,2012-02-26T00:00:00Z,tt1655442,1,http://www.wikidata.org/entity/Q117147,Thomas Langmann
83rd Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q160060,The King's Speech,http://www.wikidata.org/entity/Q295912,Tom Hooper,2011-02-27T00:00:00Z,tt1504320,3,http://www.wikidata.org/entity/Q15808023,Emile Sherman
82nd Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q183066,The Hurt Locker,http://www.wikidata.org/entity/Q34816,Kathryn Bigelow,2010-03-07T00:00:00Z,tt0887912,1,http://www.wikidata.org/entity/Q1400049,Greg Shapiro
81st Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q125076,Slumdog Millionaire,http://www.wikidata.org/entity/Q134867,Danny Boyle,2009-02-22T00:00:00Z,tt1010048,1,http://www.wikidata.org/entity/Q144896,Christian Colson
80th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q183081,No Country for Old Men,http://www.wikidata.org/entity/Q13595311,Joel Coen,2008-02-24T00:00:00Z,tt0477348,3,http://www.wikidata.org/entity/Q13595531,Ethan Coen
79th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q172975,The Departed,http://www.wikidata.org/entity/Q41148,Martin Scorsese,2007-02-25T00:00:00Z,tt0407887,1,http://www.wikidata.org/entity/Q653159,Graham King
78th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q188000,Crash,http://www.wikidata.org/entity/Q314935,Paul Haggis,2006-03-05T00:00:00Z,tt0375679,3,http://www.wikidata.org/entity/Q1051160,Cathy Schulman
77th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q184255,Million Dollar Baby,http://www.wikidata.org/entity/Q43203,Clint Eastwood,2005-02-27T00:00:00Z,tt0405159,3,http://www.wikidata.org/entity/Q7817415,Tom Rosenberg
76th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q131074,The Lord of the Rings: The Return of the King,http://www.wikidata.org/entity/Q4465,Peter Jackson,2004-02-29T00:00:00Z,tt0167260,1,http://www.wikidata.org/entity/Q808917,Barrie M. Osborne
75th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q189889,Chicago,http://www.wikidata.org/entity/Q353501,Rob Marshall,2003-03-23T00:00:00Z,tt0299658,3,http://www.wikidata.org/entity/Q251893,Martin Richards
74th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q164103,A Beautiful Mind,http://www.wikidata.org/entity/Q103646,Ron Howard,2002-03-24T00:00:00Z,tt0268978,1,http://www.wikidata.org/entity/Q320025,Brian Grazer
73rd Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q128518,Gladiator,http://www.wikidata.org/entity/Q56005,Ridley Scott,2001-03-25T00:00:00Z,tt0172495,0,http://www.wikidata.org/entity/Q1174454,David Franzoni
72nd Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q25139,American Beauty,http://www.wikidata.org/entity/Q223233,Sam Mendes,2000-03-26T00:00:00Z,tt0169547,3,http://www.wikidata.org/entity/Q643529,Dan Jinks
71st Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q182944,Shakespeare in Love,http://www.wikidata.org/entity/Q51516,John Madden,1999-03-21T00:00:00Z,tt0138097,3,http://www.wikidata.org/entity/Q3018583,David Parfitt
70th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q44578,Titanic,http://www.wikidata.org/entity/Q42574,James Cameron,1998-03-23T00:00:00Z,tt0120338,3,http://www.wikidata.org/entity/Q132451,Jon Landau
69th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q63026,The English Patient,http://www.wikidata.org/entity/Q188726,Anthony Minghella,1997-03-24T00:00:00Z,tt0116209,3,http://www.wikidata.org/entity/Q736466,Saul Zaentz
68th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q162729,Braveheart,http://www.wikidata.org/entity/Q42229,Mel Gibson,1996-03-25T00:00:00Z,tt0112573,2,http://www.wikidata.org/entity/Q366876,Alan Ladd Jr.
67th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q134773,Forrest Gump,http://www.wikidata.org/entity/Q187364,Robert Zemeckis,1995-03-27T00:00:00Z,tt0109830,1,http://www.wikidata.org/entity/Q7482626,Steve Tisch
