awardEditionLabel,year,awardLabel,awardWork,awardWorkLabel,director,directorLabel,time,imdbid,tmdbid,bechdeltest_rating,human,genderLabel,humanLabel
96th Academy Awards,2024,Academy Award for Best Director,http://www.wikidata.org/entity/Q115993222,The Zone of Interest,http://www.wikidata.org/entity/Q1703182,Jonathan Glazer,2024-03-10T00:00:00Z,tt7160372,467244,3,http://www.wikidata.org/entity/Q1703182,male,Jonathan Glazer
96th Academy Awards,2024,Academy Award for Best Picture,http://www.wikidata.org/entity/Q117037697,Anatomy of a Fall,http://www.wikidata.org/entity/Q15069938,Justine Triet,2024-03-10T00:00:00Z,tt17009710,915935,3,,,
96th Academy Awards,2024,Academy Award for Best Director,http://www.wikidata.org/entity/Q117037697,Anatomy of a Fall,http://www.wikidata.org/entity/Q15069938,Justine Triet,2024-03-10T00:00:00Z,tt17009710,915935,3,http://www.wikidata.org/entity/Q15069938,female,Justine Triet
96th Academy Awards,2024,Academy Award for Best Actress,http://www.wikidata.org/entity/Q117037697,Anatomy of a Fall,http://www.wikidata.org/entity/Q15069938,Justine Triet,2024-03-10T00:00:00Z,tt17009710,915935,3,http://www.wikidata.org/entity/Q70003,female,Sandra Hüller
96th Academy Awards,2024,Academy Award for Best Actress,http://www.wikidata.org/entity/Q108760382,Poor Things,http://www.wikidata.org/entity/Q975410,Yorgos Lanthimos,2024-03-10T00:00:00Z,tt14230458,792307,3,http://www.wikidata.org/entity/Q147077,female,Emma Stone
96th Academy Awards,2024,Academy Award for Best Director,http://www.wikidata.org/entity/Q108760382,Poor Things,http://www.wikidata.org/entity/Q975410,Yorgos Lanthimos,2024-03-10T00:00:00Z,tt14230458,792307,3,http://www.wikidata.org/entity/Q975410,male,Yorgos Lanthimos
96th Academy Awards,2024,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q108839994,Oppenheimer,http://www.wikidata.org/entity/Q25191,Christopher Nolan,2024-03-10T00:00:00Z,tt15398776,872585,2,http://www.wikidata.org/entity/Q193517,female,Emily Blunt
96th Academy Awards,2024,Academy Award for Best Director,http://www.wikidata.org/entity/Q108839994,Oppenheimer,http://www.wikidata.org/entity/Q25191,Christopher Nolan,2024-03-10T00:00:00Z,tt15398776,872585,2,http://www.wikidata.org/entity/Q25191,male,Christopher Nolan
96th Academy Awards,2024,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q111270010,The Color Purple,http://www.wikidata.org/entity/Q4926959,Blitz the Ambassador,2024-03-10T00:00:00Z,tt1200263,558915,3,http://www.wikidata.org/entity/Q16727679,female,Danielle Brooks
96th Academy Awards,2024,Academy Award for Best Actress,http://www.wikidata.org/entity/Q111907282,Maestro,http://www.wikidata.org/entity/Q205707,Bradley Cooper,2024-03-10T00:00:00Z,tt5535276,523607,2,http://www.wikidata.org/entity/Q219655,female,Carey Mulligan
96th Academy Awards,2024,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q112114745,The Holdovers,http://www.wikidata.org/entity/Q313566,Alexander Payne,2024-03-10T00:00:00Z,tt14849194,840430,2,http://www.wikidata.org/entity/Q5243751,female,Da'Vine Joy Randolph
96th Academy Awards,2024,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q112168901,Nyad,http://www.wikidata.org/entity/Q5362559,Elizabeth Chai Vasarhelyi,2024-03-10T00:00:00Z,tt5302918,895549,3,http://www.wikidata.org/entity/Q41351,female,Jodie Foster
96th Academy Awards,2024,Academy Award for Best Actress,http://www.wikidata.org/entity/Q112168901,Nyad,http://www.wikidata.org/entity/Q5362559,Elizabeth Chai Vasarhelyi,2024-03-10T00:00:00Z,tt5302918,895549,3,http://www.wikidata.org/entity/Q190602,female,Annette Bening
96th Academy Awards,2024,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q55436290,Barbie,http://www.wikidata.org/entity/Q271967,Greta Gerwig,2024-03-10T00:00:00Z,tt1517268,346698,3,http://www.wikidata.org/entity/Q219402,female,America Ferrera
96th Academy Awards,2024,Academy Award for Best Picture,http://www.wikidata.org/entity/Q55436290,Barbie,http://www.wikidata.org/entity/Q271967,Greta Gerwig,2024-03-10T00:00:00Z,tt1517268,346698,3,,,
96th Academy Awards,2024,Academy Award for Best Actress,http://www.wikidata.org/entity/Q66316924,Killers of the Flower Moon,http://www.wikidata.org/entity/Q41148,Martin Scorsese,2024-03-10T00:00:00Z,tt5537002,466420,1,http://www.wikidata.org/entity/Q27450671,non-binary,Lily Gladstone
96th Academy Awards,2024,Academy Award for Best Director,http://www.wikidata.org/entity/Q66316924,Killers of the Flower Moon,http://www.wikidata.org/entity/Q41148,Martin Scorsese,2024-03-10T00:00:00Z,tt5537002,466420,1,http://www.wikidata.org/entity/Q41148,male,Martin Scorsese
95th Academy Awards,2023,Academy Award for Best Picture,http://www.wikidata.org/entity/Q107710009,The Fabelmans,http://www.wikidata.org/entity/Q8877,Steven Spielberg,2023-03-12T00:00:00Z,tt14208870,804095,2,http://www.wikidata.org/entity/Q22074633,,Kristie Macosko Krieger
95th Academy Awards,2023,Academy Award for Best Actress,http://www.wikidata.org/entity/Q107710009,The Fabelmans,http://www.wikidata.org/entity/Q8877,Steven Spielberg,2023-03-12T00:00:00Z,tt14208870,804095,2,http://www.wikidata.org/entity/Q156796,female,Michelle Williams
95th Academy Awards,2023,Academy Award for Best Director,http://www.wikidata.org/entity/Q107710009,The Fabelmans,http://www.wikidata.org/entity/Q8877,Steven Spielberg,2023-03-12T00:00:00Z,tt14208870,804095,2,http://www.wikidata.org/entity/Q8877,male,Steven Spielberg
95th Academy Awards,2023,Academy Award for Best Picture,http://www.wikidata.org/entity/Q108030443,Women Talking,http://www.wikidata.org/entity/Q234212,Sarah Polley,2023-03-12T00:00:00Z,tt13669038,777245,3,http://www.wikidata.org/entity/Q15884784,male,Jeremy Kleiner
95th Academy Awards,2023,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q108314506,The Banshees of Inisherin,http://www.wikidata.org/entity/Q372394,Martin McDonagh,2023-03-12T00:00:00Z,tt11813216,674324,3,http://www.wikidata.org/entity/Q28542230,,Barry Keoghan
95th Academy Awards,2023,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q108314506,The Banshees of Inisherin,http://www.wikidata.org/entity/Q372394,Martin McDonagh,2023-03-12T00:00:00Z,tt11813216,674324,3,http://www.wikidata.org/entity/Q257625,female,Kerry Condon
95th Academy Awards,2023,Academy Award for Best Actor,http://www.wikidata.org/entity/Q108314506,The Banshees of Inisherin,http://www.wikidata.org/entity/Q372394,Martin McDonagh,2023-03-12T00:00:00Z,tt11813216,674324,3,http://www.wikidata.org/entity/Q172035,male,Colin Farrell
95th Academy Awards,2023,Academy Award for Best Picture,http://www.wikidata.org/entity/Q108314506,The Banshees of Inisherin,http://www.wikidata.org/entity/Q372394,Martin McDonagh,2023-03-12T00:00:00Z,tt11813216,674324,3,http://www.wikidata.org/entity/Q40664045,,Peter Czernin
95th Academy Awards,2023,Academy Award for Best Director,http://www.wikidata.org/entity/Q108314506,The Banshees of Inisherin,http://www.wikidata.org/entity/Q372394,Martin McDonagh,2023-03-12T00:00:00Z,tt11813216,674324,3,http://www.wikidata.org/entity/Q372394,male,Martin McDonagh
95th Academy Awards,2023,Academy Award for Best Picture,http://www.wikidata.org/entity/Q108649516,Tár,http://www.wikidata.org/entity/Q670296,Todd Field,2023-03-12T00:00:00Z,tt14444726,817758,3,http://www.wikidata.org/entity/Q116458006,,Scott Lambert
95th Academy Awards,2023,Academy Award for Best Actress,http://www.wikidata.org/entity/Q108649516,Tár,http://www.wikidata.org/entity/Q670296,Todd Field,2023-03-12T00:00:00Z,tt14444726,817758,3,http://www.wikidata.org/entity/Q80966,female,Cate Blanchett
95th Academy Awards,2023,Academy Award for Best Director,http://www.wikidata.org/entity/Q108649516,Tár,http://www.wikidata.org/entity/Q670296,Todd Field,2023-03-12T00:00:00Z,tt14444726,817758,3,http://www.wikidata.org/entity/Q670296,male,Todd Field
95th Academy Awards,2023,Academy Award for Best Picture,http://www.wikidata.org/entity/Q108837349,All Quiet on the Western Front,http://www.wikidata.org/entity/Q1291686,Edward Berger,2023-03-12T00:00:00Z,tt1016150,49046,0,http://www.wikidata.org/entity/Q95281346,male,Malte Grunert
95th Academy Awards,2023,Academy Award for Best Actress,http://www.wikidata.org/entity/Q111399136,To Leslie,http://www.wikidata.org/entity/Q6832915,Michael Morris,2023-03-12T00:00:00Z,tt8129806,823147,,http://www.wikidata.org/entity/Q289545,female,Andrea Riseborough
