awardEditionLabel,year,awardLabel,awardWork,awardWorkLabel,director,directorLabel,time,imdbid,tmdbid,bechdeltest_rating,human,genderLabel,humanLabel
34th Academy Awards,1962,Academy Award for Best Director,,West Side Story,http://www.wikidata.org/entity/Q59821,Robert Wise,1962-04-09T00:00:00Z,tt0055614,1725,3,http://www.wikidata.org/entity/Q59821,male,Robert Wise
80th Academy Awards,2008,Academy Award for Best Director,,No Country for Old Men,http://www.wikidata.org/entity/Q13595311,Joel Coen,2008-02-24T00:00:00Z,tt0477348,6977,3,http://www.wikidata.org/entity/Q13595311,male,Joel Coen
95th Academy Awards,2023,Academy Award for Best Director,,Everything Everywhere All at Once,http://www.wikidata.org/entity/Q28746830,Dan Kwan,2023-03-12T00:00:00Z,tt6710474,545611,3,http://www.wikidata.org/entity/Q28746830,male,Dan Kwan
96th Academy Awards,2024,Academy Award for Best Director,,Oppenheimer,http://www.wikidata.org/entity/Q25191,Christopher Nolan,2024-03-10T00:00:00Z,tt15398776,872585,2,http://www.wikidata.org/entity/Q25191,male,Christopher Nolan
96th Academy Awards,2024,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q112114745,The Holdovers,http://www.wikidata.org/entity/Q313566,Alexander Payne,2024-03-10T00:00:00Z,tt14849194,840430,2,http://www.wikidata.org/entity/Q5243751,female,Da'Vine Joy Randolph
96th Academy Awards,2024,Academy Award for Best Picture,http://www.wikidata.org/entity/Q108839994,Oppenheimer,http://www.wikidata.org/entity/Q25191,Christopher Nolan,2024-03-10T00:00:00Z,tt15398776,872585,2,,,
96th Academy Awards,2024,Academy Award for Best Actor,http://www.wikidata.org/entity/Q108839994,Oppenheimer,http://www.wikidata.org/entity/Q25191,Christopher Nolan,2024-03-10T00:00:00Z,tt15398776,872585,2,http://www.wikidata.org/entity/Q202589,,Cillian Murphy
96th Academy Awards,2024,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q108839994,Oppenheimer,http://www.wikidata.org/entity/Q25191,Christopher Nolan,2024-03-10T00:00:00Z,tt15398776,872585,2,http://www.wikidata.org/entity/Q165219,male,Robert Downey Jr.
96th Academy Awards,2024,Academy Award for Best Actress,http://www.wikidata.org/entity/Q108760382,Poor Things,http://www.wikidata.org/entity/Q975410,Yorgos Lanthimos,2024-03-10T00:00:00Z,tt14230458,792307,3,http://www.wikidata.org/entity/Q147077,female,Emma Stone
95th Academy Awards,2023,Academy Award for Best Picture,http://www.wikidata.org/entity/Q83808444,Everything Everywhere All at Once,http://www.wikidata.org/entity/Q28746830,Dan Kwan,2023-03-12T00:00:00Z,tt6710474,545611,3,http://www.wikidata.org/entity/Q115925841,,Jonathan Wang
95th Academy Awards,2023,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q83808444,Everything Everywhere All at Once,http://www.wikidata.org/entity/Q28746830,Dan Kwan,2023-03-12T00:00:00Z,tt6710474,545611,3,http://www.wikidata.org/entity/Q106997,female,Jamie Lee Curtis
95th Academy Awards,2023,Academy Award for Best Director,http://www.wikidata.org/entity/Q83808444,Everything Everywhere All at Once,http://www.wikidata.org/entity/Q28746830,Dan Kwan,2023-03-12T00:00:00Z,tt6710474,545611,3,http://www.wikidata.org/entity/Q28746848,male,Daniel Scheinert
95th Academy Awards,2023,Academy Award for Best Actress,http://www.wikidata.org/entity/Q83808444,Everything Everywhere All at Once,http://www.wikidata.org/entity/Q28746830,Dan Kwan,2023-03-12T00:00:00Z,tt6710474,545611,3,http://www.wikidata.org/entity/Q214289,female,Michelle Yeoh
95th Academy Awards,2023,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q83808444,Everything Everywhere All at Once,http://www.wikidata.org/entity/Q28746830,Dan Kwan,2023-03-12T00:00:00Z,tt6710474,545611,3,http://www.wikidata.org/entity/Q445017,male,Ke Huy Quan
95th Academy Awards,2023,Academy Award for Best Actor,http://www.wikidata.org/entity/Q105883400,The Whale,http://www.wikidata.org/entity/Q192762,Darren Aronofsky,2023-03-12T00:00:00Z,tt13833688,785084,2,http://www.wikidata.org/entity/Q193555,male,Brendan Fraser
94th Academy Awards,2022,Academy Award for Best Director,http://www.wikidata.org/entity/Q85323337,The Power of the Dog,http://www.wikidata.org/entity/Q230448,Jane Campion,2022-03-27T00:00:00Z,tt10293406,600583,0,http://www.wikidata.org/entity/Q230448,female,Jane Campion
94th Academy Awards,2022,Academy Award for Best Actor,http://www.wikidata.org/entity/Q84203429,King Richard,http://www.wikidata.org/entity/Q27044648,Reinaldo Marcus Green,2022-03-27T00:00:00Z,tt9620288,614917,3,http://www.wikidata.org/entity/Q40096,male,Will Smith
94th Academy Awards,2022,Academy Award for Best Actress,http://www.wikidata.org/entity/Q73537423,The Eyes of Tammy Faye,http://www.wikidata.org/entity/Q2092899,Michael Showalter,2022-03-27T00:00:00Z,tt9115530,601470,3,http://www.wikidata.org/entity/Q229313,female,Jessica Chastain
94th Academy Awards,2022,Academy Award for Best Picture,http://www.wikidata.org/entity/Q104686893,CODA,http://www.wikidata.org/entity/Q7506788,Siân Héder,2022-03-27T00:00:00Z,tt10366460,776503,3,,,
94th Academy Awards,2022,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q104686893,CODA,http://www.wikidata.org/entity/Q7506788,Siân Héder,2022-03-27T00:00:00Z,tt10366460,776503,3,http://www.wikidata.org/entity/Q3508016,male,Troy Kotsur
94th Academy Awards,2022,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q63643994,West Side Story,http://www.wikidata.org/entity/Q8877,Steven Spielberg,2022-03-27T00:00:00Z,tt3581652,511809,3,http://www.wikidata.org/entity/Q27733932,female,Ariana DeBose
93rd Academy Awards,2021,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q73536766,Judas and the Black Messiah,http://www.wikidata.org/entity/Q104728627,Shaka King,2021-04-25T00:00:00Z,tt9784798,583406,2,http://www.wikidata.org/entity/Q510970,male,Daniel Kaluuya
93rd Academy Awards,2021,Academy Award for Best Actress,http://www.wikidata.org/entity/Q61740820,Nomadland,http://www.wikidata.org/entity/Q21078321,Chloé Zhao,2021-04-25T00:00:00Z,tt9770150,581734,3,http://www.wikidata.org/entity/Q204299,female,Frances McDormand
93rd Academy Awards,2021,Academy Award for Best Director,http://www.wikidata.org/entity/Q61740820,Nomadland,http://www.wikidata.org/entity/Q21078321,Chloé Zhao,2021-04-25T00:00:00Z,tt9770150,581734,3,http://www.wikidata.org/entity/Q21078321,,Chloé Zhao
93rd Academy Awards,2021,Academy Award for Best Picture,http://www.wikidata.org/entity/Q61740820,Nomadland,http://www.wikidata.org/entity/Q21078321,Chloé Zhao,2021-04-25T00:00:00Z,tt9770150,581734,3,,,
93rd Academy Awards,2021,Academy Award for Best Actor,http://www.wikidata.org/entity/Q65066669,The Father,http://www.wikidata.org/entity/Q3074245,Florian Zeller,2021-04-25T00:00:00Z,tt10272386,600354,,http://www.wikidata.org/entity/Q65932,male,Anthony Hopkins
93rd Academy Awards,2021,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q65679599,Minari,http://www.wikidata.org/entity/Q6514075,Lee Isaac Chung,2021-04-25T00:00:00Z,tt10633456,615643,3,http://www.wikidata.org/entity/Q491013,female,Youn Yuh-jung
